nama_kabupaten_kota,tipe_roda_kendaraan,jumlah_kendaraan,satuan,tahun
KABUPATEN BOGOR,RODA 2,1404250,UNIT,2018
KABUPATEN BOGOR,RODA 4,204207,UNIT,2018
KABUPATEN SUKABUMI,RODA 2,477197,UNIT,2018
KABUPATEN SUKABUMI,RODA 4,55476,UNIT,2018
KABUPATEN CIANJUR,RODA 2,396361,UNIT,2018
KABUPATEN CIANJUR,RODA 4,52051,UNIT,2018
KABUPATEN BANDUNG,RODA 2,957797,UNIT,2018
KABUPATEN BANDUNG,RODA 4,146467,UNIT,2018
KABUPATEN GARUT,RODA 2,383640,UNIT,2018
KABUPATEN GARUT,RODA 4,43927,UNIT,2018
KABUPATEN TASIKMALAYA,RODA 2,269156,UNIT,2018
KABUPATEN TASIKMALAYA,RODA 4,29107,UNIT,2018
KABUPATEN CIAMIS,RODA 2,253985,UNIT,2018
KABUPATEN CIAMIS,RODA 4,31415,UNIT,2018
KABUPATEN KUNINGAN,RODA 2,298289,UNIT,2018
KABUPATEN KUNINGAN,RODA 4,33660,UNIT,2018
KABUPATEN CIREBON,RODA 2,637341,UNIT,2018
KABUPATEN CIREBON,RODA 4,70493,UNIT,2018
KABUPATEN MAJALENGKA,RODA 2,335874,UNIT,2018
KABUPATEN MAJALENGKA,RODA 4,34222,UNIT,2018
KABUPATEN SUMEDANG,RODA 2,276252,UNIT,2018
KABUPATEN SUMEDANG,RODA 4,30409,UNIT,2018
KABUPATEN INDRAMAYU,RODA 2,485536,UNIT,2018
KABUPATEN INDRAMAYU,RODA 4,46470,UNIT,2018
KABUPATEN SUBANG,RODA 2,413042,UNIT,2018
KABUPATEN SUBANG,RODA 4,36600,UNIT,2018
KABUPATEN PURWAKARTA,RODA 2,275711,UNIT,2018
KABUPATEN PURWAKARTA,RODA 4,37879,UNIT,2018
KABUPATEN KARAWANG,RODA 2,755961,UNIT,2018
KABUPATEN KARAWANG,RODA 4,107577,UNIT,2018
KABUPATEN BEKASI,RODA 2,1261729,UNIT,2018
KABUPATEN BEKASI,RODA 4,254355,UNIT,2018
KABUPATEN BANDUNG BARAT,RODA 2,540658,UNIT,2018
KABUPATEN BANDUNG BARAT,RODA 4,85316,UNIT,2018
KABUPATEN PANGANDARAN,RODA 2,82786,UNIT,2018
KABUPATEN PANGANDARAN,RODA 4,9166,UNIT,2018
KOTA BOGOR,RODA 2,373434,UNIT,2018
KOTA BOGOR,RODA 4,105446,UNIT,2018
KOTA SUKABUMI,RODA 2,100486,UNIT,2018
KOTA SUKABUMI,RODA 4,25841,UNIT,2018
KOTA BANDUNG,RODA 2,1256057,UNIT,2018
KOTA BANDUNG,RODA 4,482615,UNIT,2018
KOTA CIREBON,RODA 2,142467,UNIT,2018
KOTA CIREBON,RODA 4,46166,UNIT,2018
KOTA BEKASI,RODA 2,1250955,UNIT,2018
KOTA BEKASI,RODA 4,358486,UNIT,2018
KOTA DEPOK,RODA 2,966451,UNIT,2018
KOTA DEPOK,RODA 4,210223,UNIT,2018
KOTA CIMAHI,RODA 2,260741,UNIT,2018
KOTA CIMAHI,RODA 4,55184,UNIT,2018
KOTA TASIKMALAYA,RODA 2,207147,UNIT,2018
KOTA TASIKMALAYA,RODA 4,39698,UNIT,2018
KOTA BANJAR,RODA 2,62997,UNIT,2018
KOTA BANJAR,RODA 4,7387,UNIT,2018
KABUPATEN BOGOR,RODA 2,1451061,UNIT,2019
KABUPATEN BOGOR,RODA 4,217001,UNIT,2019
KABUPATEN SUKABUMI,RODA 2,492193,UNIT,2019
KABUPATEN SUKABUMI,RODA 4,59052,UNIT,2019
KABUPATEN CIANJUR,RODA 2,410734,UNIT,2019
KABUPATEN CIANJUR,RODA 4,55127,UNIT,2019
KABUPATEN BANDUNG,RODA 2,990088,UNIT,2019
KABUPATEN BANDUNG,RODA 4,156025,UNIT,2019
KABUPATEN GARUT,RODA 2,393698,UNIT,2019
KABUPATEN GARUT,RODA 4,46833,UNIT,2019
KABUPATEN TASIKMALAYA,RODA 2,281055,UNIT,2019
KABUPATEN TASIKMALAYA,RODA 4,31001,UNIT,2019
KABUPATEN CIAMIS,RODA 2,342000,UNIT,2019
KABUPATEN CIAMIS,RODA 4,42707,UNIT,2019
KABUPATEN KUNINGAN,RODA 2,309264,UNIT,2019
KABUPATEN KUNINGAN,RODA 4,35857,UNIT,2019
KABUPATEN CIREBON,RODA 2,658873,UNIT,2019
KABUPATEN CIREBON,RODA 4,74934,UNIT,2019
KABUPATEN MAJALENGKA,RODA 2,344258,UNIT,2019
KABUPATEN MAJALENGKA,RODA 4,36008,UNIT,2019
KABUPATEN SUMEDANG,RODA 2,284600,UNIT,2019
KABUPATEN SUMEDANG,RODA 4,32477,UNIT,2019
KABUPATEN INDRAMAYU,RODA 2,493723,UNIT,2019
KABUPATEN INDRAMAYU,RODA 4,49551,UNIT,2019
KABUPATEN SUBANG,RODA 2,421838,UNIT,2019
KABUPATEN SUBANG,RODA 4,40541,UNIT,2019
KABUPATEN PURWAKARTA,RODA 2,281740,UNIT,2019
KABUPATEN PURWAKARTA,RODA 4,40906,UNIT,2019
KABUPATEN KARAWANG,RODA 2,769717,UNIT,2019
KABUPATEN KARAWANG,RODA 4,116899,UNIT,2019
KABUPATEN BEKASI,RODA 2,1283333,UNIT,2019
KABUPATEN BEKASI,RODA 4,269512,UNIT,2019
KABUPATEN BANDUNG BARAT,RODA 2,558434,UNIT,2019
KABUPATEN BANDUNG BARAT,RODA 4,89510,UNIT,2019
KABUPATEN PANGANDARAN,RODA 2,0,UNIT,2019
KABUPATEN PANGANDARAN,RODA 4,0,UNIT,2019
KOTA BOGOR,RODA 2,380391,UNIT,2019
KOTA BOGOR,RODA 4,107893,UNIT,2019
KOTA SUKABUMI,RODA 2,102602,UNIT,2019
KOTA SUKABUMI,RODA 4,26624,UNIT,2019
KOTA BANDUNG,RODA 2,1260127,UNIT,2019
KOTA BANDUNG,RODA 4,487128,UNIT,2019
KOTA CIREBON,RODA 2,142362,UNIT,2019
KOTA CIREBON,RODA 4,47073,UNIT,2019
KOTA BEKASI,RODA 2,1251694,UNIT,2019
KOTA BEKASI,RODA 4,363271,UNIT,2019
KOTA DEPOK,RODA 2,981577,UNIT,2019
KOTA DEPOK,RODA 4,214962,UNIT,2019
KOTA CIMAHI,RODA 2,264283,UNIT,2019
KOTA CIMAHI,RODA 4,56782,UNIT,2019
KOTA TASIKMALAYA,RODA 2,212465,UNIT,2019
KOTA TASIKMALAYA,RODA 4,41598,UNIT,2019
KOTA BANJAR,RODA 2,63446,UNIT,2019
KOTA BANJAR,RODA 4,7779,UNIT,2019
KABUPATEN BOGOR,RODA 2,1410656,UNIT,2020
KABUPATEN BOGOR,RODA 4,215240,UNIT,2020
KABUPATEN SUKABUMI,RODA 2,472247,UNIT,2020
KABUPATEN SUKABUMI,RODA 4,58315,UNIT,2020
KABUPATEN CIANJUR,RODA 2,403660,UNIT,2020
KABUPATEN CIANJUR,RODA 4,55491,UNIT,2020
KABUPATEN BANDUNG,RODA 2,937165,UNIT,2020
KABUPATEN BANDUNG,RODA 4,152801,UNIT,2020
KABUPATEN GARUT,RODA 2,382515,UNIT,2020
KABUPATEN GARUT,RODA 4,47305,UNIT,2020
KABUPATEN TASIKMALAYA,RODA 2,275572,UNIT,2020
KABUPATEN TASIKMALAYA,RODA 4,31085,UNIT,2020
KABUPATEN CIAMIS,RODA 2,325773,UNIT,2020
KABUPATEN CIAMIS,RODA 4,42199,UNIT,2020
KABUPATEN KUNINGAN,RODA 2,301300,UNIT,2020
KABUPATEN KUNINGAN,RODA 4,35060,UNIT,2020
KABUPATEN CIREBON,RODA 2,637662,UNIT,2020
KABUPATEN CIREBON,RODA 4,74354,UNIT,2020
KABUPATEN MAJALENGKA,RODA 2,332757,UNIT,2020
KABUPATEN MAJALENGKA,RODA 4,35650,UNIT,2020
KABUPATEN SUMEDANG,RODA 2,277612,UNIT,2020
KABUPATEN SUMEDANG,RODA 4,33167,UNIT,2020
KABUPATEN INDRAMAYU,RODA 2,477749,UNIT,2020
KABUPATEN INDRAMAYU,RODA 4,50221,UNIT,2020
KABUPATEN SUBANG,RODA 2,402836,UNIT,2020
KABUPATEN SUBANG,RODA 4,39663,UNIT,2020
KABUPATEN PURWAKARTA,RODA 2,265555,UNIT,2020
KABUPATEN PURWAKARTA,RODA 4,40498,UNIT,2020
KABUPATEN KARAWANG,RODA 2,733854,UNIT,2020
KABUPATEN KARAWANG,RODA 4,116276,UNIT,2020
KABUPATEN BEKASI,RODA 2,1222091,UNIT,2020
KABUPATEN BEKASI,RODA 4,266894,UNIT,2020
KABUPATEN BANDUNG BARAT,RODA 2,529885,UNIT,2020
KABUPATEN BANDUNG BARAT,RODA 4,86374,UNIT,2020
KABUPATEN PANGANDARAN,RODA 2,0,UNIT,2020
KABUPATEN PANGANDARAN,RODA 4,0,UNIT,2020
KOTA BOGOR,RODA 2,358167,UNIT,2020
KOTA BOGOR,RODA 4,101045,UNIT,2020
KOTA SUKABUMI,RODA 2,94484,UNIT,2020
KOTA SUKABUMI,RODA 4,24960,UNIT,2020
KOTA BANDUNG,RODA 2,1128080,UNIT,2020
KOTA BANDUNG,RODA 4,440722,UNIT,2020
KOTA CIREBON,RODA 2,130618,UNIT,2020
KOTA CIREBON,RODA 4,42163,UNIT,2020
KOTA BEKASI,RODA 2,1186853,UNIT,2020
KOTA BEKASI,RODA 4,347027,UNIT,2020
KOTA DEPOK,RODA 2,931338,UNIT,2020
KOTA DEPOK,RODA 4,203903,UNIT,2020
KOTA CIMAHI,RODA 2,240642,UNIT,2020
KOTA CIMAHI,RODA 4,52921,UNIT,2020
KOTA TASIKMALAYA,RODA 2,200263,UNIT,2020
KOTA TASIKMALAYA,RODA 4,40930,UNIT,2020
KOTA BANJAR,RODA 2,59464,UNIT,2020
KOTA BANJAR,RODA 4,7664,UNIT,2020
KABUPATEN BOGOR,RODA 2,1420066,UNIT,2021
KABUPATEN BOGOR,RODA 4,221538,UNIT,2021
KABUPATEN SUKABUMI,RODA 2,467256,UNIT,2021
KABUPATEN SUKABUMI,RODA 4,60625,UNIT,2021
KABUPATEN CIANJUR,RODA 2,407425,UNIT,2021
KABUPATEN CIANJUR,RODA 4,57813,UNIT,2021
KABUPATEN BANDUNG,RODA 2,944465,UNIT,2021
KABUPATEN BANDUNG,RODA 4,157482,UNIT,2021
KABUPATEN GARUT,RODA 2,385236,UNIT,2021
KABUPATEN GARUT,RODA 4,50069,UNIT,2021
KABUPATEN TASIKMALAYA,RODA 2,282206,UNIT,2021
KABUPATEN TASIKMALAYA,RODA 4,33177,UNIT,2021
KABUPATEN CIAMIS,RODA 2,327234,UNIT,2021
KABUPATEN CIAMIS,RODA 4,44565,UNIT,2021
KABUPATEN KUNINGAN,RODA 2,303618,UNIT,2021
KABUPATEN KUNINGAN,RODA 4,36291,UNIT,2021
KABUPATEN CIREBON,RODA 2,649864,UNIT,2021
KABUPATEN CIREBON,RODA 4,78380,UNIT,2021
KABUPATEN MAJALENGKA,RODA 2,334837,UNIT,2021
KABUPATEN MAJALENGKA,RODA 4,36381,UNIT,2021
KABUPATEN SUMEDANG,RODA 2,280392,UNIT,2021
KABUPATEN SUMEDANG,RODA 4,34010,UNIT,2021
KABUPATEN INDRAMAYU,RODA 2,476560,UNIT,2021
KABUPATEN INDRAMAYU,RODA 4,53182,UNIT,2021
KABUPATEN SUBANG,RODA 2,394115,UNIT,2021
KABUPATEN SUBANG,RODA 4,41166,UNIT,2021
KABUPATEN PURWAKARTA,RODA 2,266862,UNIT,2021
KABUPATEN PURWAKARTA,RODA 4,42515,UNIT,2021
KABUPATEN KARAWANG,RODA 2,733791,UNIT,2021
KABUPATEN KARAWANG,RODA 4,120344,UNIT,2021
KABUPATEN BEKASI,RODA 2,1220358,UNIT,2021
KABUPATEN BEKASI,RODA 4,273956,UNIT,2021
KABUPATEN BANDUNG BARAT,RODA 2,535359,UNIT,2021
KABUPATEN BANDUNG BARAT,RODA 4,87553,UNIT,2021
KABUPATEN PANGANDARAN,RODA 2,0,UNIT,2021
KABUPATEN PANGANDARAN,RODA 4,0,UNIT,2021
KOTA BOGOR,RODA 2,359716,UNIT,2021
KOTA BOGOR,RODA 4,102314,UNIT,2021
KOTA SUKABUMI,RODA 2,94263,UNIT,2021
KOTA SUKABUMI,RODA 4,24669,UNIT,2021
KOTA BANDUNG,RODA 2,1112336,UNIT,2021
KOTA BANDUNG,RODA 4,440411,UNIT,2021
KOTA CIREBON,RODA 2,130628,UNIT,2021
KOTA CIREBON,RODA 4,42459,UNIT,2021
KOTA BEKASI,RODA 2,1160088,UNIT,2021
KOTA BEKASI,RODA 4,348528,UNIT,2021
KOTA DEPOK,RODA 2,919479,UNIT,2021
KOTA DEPOK,RODA 4,205892,UNIT,2021
KOTA CIMAHI,RODA 2,238848,UNIT,2021
KOTA CIMAHI,RODA 4,52719,UNIT,2021
KOTA TASIKMALAYA,RODA 2,199579,UNIT,2021
KOTA TASIKMALAYA,RODA 4,40264,UNIT,2021
KOTA BANJAR,RODA 2,58677,UNIT,2021
KOTA BANJAR,RODA 4,8083,UNIT,2021
KABUPATEN BOGOR,RODA 2,1433350,UNIT,2022
KABUPATEN BOGOR,RODA 4,233510,UNIT,2022
KABUPATEN SUKABUMI,RODA 2,470842,UNIT,2022
KABUPATEN SUKABUMI,RODA 4,63584,UNIT,2022
KABUPATEN CIANJUR,RODA 2,410835,UNIT,2022
KABUPATEN CIANJUR,RODA 4,60031,UNIT,2022
KABUPATEN BANDUNG,RODA 2,957033,UNIT,2022
KABUPATEN BANDUNG,RODA 4,164241,UNIT,2022
KABUPATEN GARUT,RODA 2,388271,UNIT,2022
KABUPATEN GARUT,RODA 4,52968,UNIT,2022
KABUPATEN TASIKMALAYA,RODA 2,286980,UNIT,2022
KABUPATEN TASIKMALAYA,RODA 4,35093,UNIT,2022
KABUPATEN CIAMIS,RODA 2,326248,UNIT,2022
KABUPATEN CIAMIS,RODA 4,46959,UNIT,2022
KABUPATEN KUNINGAN,RODA 2,307202,UNIT,2022
KABUPATEN KUNINGAN,RODA 4,37763,UNIT,2022
KABUPATEN CIREBON,RODA 2,658894,UNIT,2022
KABUPATEN CIREBON,RODA 4,81858,UNIT,2022
KABUPATEN MAJALENGKA,RODA 2,336538,UNIT,2022
KABUPATEN MAJALENGKA,RODA 4,37798,UNIT,2022
KABUPATEN SUMEDANG,RODA 2,285436,UNIT,2022
KABUPATEN SUMEDANG,RODA 4,35407,UNIT,2022
KABUPATEN INDRAMAYU,RODA 2,478009,UNIT,2022
KABUPATEN INDRAMAYU,RODA 4,55906,UNIT,2022
KABUPATEN SUBANG,RODA 2,400362,UNIT,2022
KABUPATEN SUBANG,RODA 4,44649,UNIT,2022
KABUPATEN PURWAKARTA,RODA 2,267994,UNIT,2022
KABUPATEN PURWAKARTA,RODA 4,44468,UNIT,2022
KABUPATEN KARAWANG,RODA 2,738650,UNIT,2022
KABUPATEN KARAWANG,RODA 4,127209,UNIT,2022
KABUPATEN BEKASI,RODA 2,1227730,UNIT,2022
KABUPATEN BEKASI,RODA 4,285825,UNIT,2022
KABUPATEN BANDUNG BARAT,RODA 2,541983,UNIT,2022
KABUPATEN BANDUNG BARAT,RODA 4,91744,UNIT,2022
KABUPATEN PANGANDARAN,RODA 2,0,UNIT,2022
KABUPATEN PANGANDARAN,RODA 4,0,UNIT,2022
KOTA BOGOR,RODA 2,362278,UNIT,2022
KOTA BOGOR,RODA 4,105442,UNIT,2022
KOTA SUKABUMI,RODA 2,95566,UNIT,2022
KOTA SUKABUMI,RODA 4,25141,UNIT,2022
KOTA BANDUNG,RODA 2,1107464,UNIT,2022
KOTA BANDUNG,RODA 4,444310,UNIT,2022
KOTA CIREBON,RODA 2,130009,UNIT,2022
KOTA CIREBON,RODA 4,42804,UNIT,2022
KOTA BEKASI,RODA 2,1147706,UNIT,2022
KOTA BEKASI,RODA 4,354430,UNIT,2022
KOTA DEPOK,RODA 2,926839,UNIT,2022
KOTA DEPOK,RODA 4,212771,UNIT,2022
KOTA CIMAHI,RODA 2,239042,UNIT,2022
KOTA CIMAHI,RODA 4,53738,UNIT,2022
KOTA TASIKMALAYA,RODA 2,201379,UNIT,2022
KOTA TASIKMALAYA,RODA 4,42363,UNIT,2022
KOTA BANJAR,RODA 2,59135,UNIT,2022
KOTA BANJAR,RODA 4,8512,UNIT,2022
KABUPATEN BOGOR,RODA 2,1485781,UNIT,2023
KABUPATEN BOGOR,RODA 4,244387,UNIT,2023
KABUPATEN SUKABUMI,RODA 2,480625,UNIT,2023
KABUPATEN SUKABUMI,RODA 4,66023,UNIT,2023
KABUPATEN CIANJUR,RODA 2,422844,UNIT,2023
KABUPATEN CIANJUR,RODA 4,61876,UNIT,2023
KABUPATEN BANDUNG,RODA 2,973384,UNIT,2023
KABUPATEN BANDUNG,RODA 4,169814,UNIT,2023
KABUPATEN GARUT,RODA 2,396769,UNIT,2023
KABUPATEN GARUT,RODA 4,55428,UNIT,2023
KABUPATEN TASIKMALAYA,RODA 2,294016,UNIT,2023
KABUPATEN TASIKMALAYA,RODA 4,36085,UNIT,2023
KABUPATEN CIAMIS,RODA 2,248580,UNIT,2023
KABUPATEN CIAMIS,RODA 4,37138,UNIT,2023
KABUPATEN KUNINGAN,RODA 2,313328,UNIT,2023
KABUPATEN KUNINGAN,RODA 4,39173,UNIT,2023
KABUPATEN CIREBON,RODA 2,670694,UNIT,2023
KABUPATEN CIREBON,RODA 4,84712,UNIT,2023
KABUPATEN MAJALENGKA,RODA 2,336793,UNIT,2023
KABUPATEN MAJALENGKA,RODA 4,39135,UNIT,2023
KABUPATEN SUMEDANG,RODA 2,290443,UNIT,2023
KABUPATEN SUMEDANG,RODA 4,37006,UNIT,2023
KABUPATEN INDRAMAYU,RODA 2,481853,UNIT,2023
KABUPATEN INDRAMAYU,RODA 4,58038,UNIT,2023
KABUPATEN SUBANG,RODA 2,408232,UNIT,2023
KABUPATEN SUBANG,RODA 4,47501,UNIT,2023
KABUPATEN PURWAKARTA,RODA 2,273965,UNIT,2023
KABUPATEN PURWAKARTA,RODA 4,46092,UNIT,2023
KABUPATEN KARAWANG,RODA 2,755534,UNIT,2023
KABUPATEN KARAWANG,RODA 4,133004,UNIT,2023
KABUPATEN BEKASI,RODA 2,1258080,UNIT,2023
KABUPATEN BEKASI,RODA 4,298214,UNIT,2023
KABUPATEN BANDUNG BARAT,RODA 2,554116,UNIT,2023
KABUPATEN BANDUNG BARAT,RODA 4,95199,UNIT,2023
KABUPATEN PANGANDARAN,RODA 2,78671,UNIT,2023
KABUPATEN PANGANDARAN,RODA 4,11465,UNIT,2023
KOTA BOGOR,RODA 2,371715,UNIT,2023
KOTA BOGOR,RODA 4,108102,UNIT,2023
KOTA SUKABUMI,RODA 2,97322,UNIT,2023
KOTA SUKABUMI,RODA 4,25420,UNIT,2023
KOTA BANDUNG,RODA 2,1113142,UNIT,2023
KOTA BANDUNG,RODA 4,449546,UNIT,2023
KOTA CIREBON,RODA 2,130647,UNIT,2023
KOTA CIREBON,RODA 4,43244,UNIT,2023
KOTA BEKASI,RODA 2,1154277,UNIT,2023
KOTA BEKASI,RODA 4,363029,UNIT,2023
KOTA DEPOK,RODA 2,955647,UNIT,2023
KOTA DEPOK,RODA 4,220748,UNIT,2023
KOTA CIMAHI,RODA 2,242321,UNIT,2023
KOTA CIMAHI,RODA 4,54838,UNIT,2023
KOTA TASIKMALAYA,RODA 2,204669,UNIT,2023
KOTA TASIKMALAYA,RODA 4,43777,UNIT,2023
KOTA BANJAR,RODA 2,59228,UNIT,2023
KOTA BANJAR,RODA 4,8768,UNIT,2023