nama_kabupaten_kota,Pendidikan,2017,2018,2019,2020,2021,2022
KABUPATEN BOGOR,SD/MI/Paket A,"99,77","99,2","99,26","99,11","99,15","95,92"
KABUPATEN SUKABUMI,SD/MI/Paket A,"99,21","99,36","99,3","99,4","99,43","99,96"
KABUPATEN CIANJUR,SD/MI/Paket A,"98,5","98,39","98,49","98,82","98,8",100
KABUPATEN BANDUNG,SD/MI/Paket A,"98,58","99,06","99,02","99,25","99,43","99,99"
KABUPATEN GARUT,SD/MI/Paket A,"98,41","99,27","99,17","99,07","99,4","97,18"
KABUPATEN TASIKMALAYA,SD/MI/Paket A,"99,42","98,86","98,91",99,"98,68","99,97"
KABUPATEN CIAMIS,SD/MI/Paket A,"96,35","97,6","97,88","98,03","98,11","99,95"
KABUPATEN KUNINGAN,SD/MI/Paket A,"96,46","95,48","95,57","95,21","95,26","99,99"
KABUPATEN CIREBON,SD/MI/Paket A,"95,42","96,11","95,78","95,84","95,8","96,59"
KABUPATEN MAJALENGKA,SD/MI/Paket A,"95,83","98,17","98,36","97,9","97,96","97,03"
KABUPATEN SUMEDANG,SD/MI/Paket A,"97,93","95,43","95,76","96,11","96,01","96,84"
KABUPATEN INDRAMAYU,SD/MI/Paket A,"98,42","98,75","98,69","98,25","98,36","99,97"
KABUPATEN SUBANG,SD/MI/Paket A,"96,34","98,45","98,88","99,53","99,36","97,73"
KABUPATEN PURWAKARTA,SD/MI/Paket A,"97,91","96,08","95,51","96,68","96,76","99,96"
KABUPATEN KARAWANG,SD/MI/Paket A,"98,15","98,05","97,99","98,51","98,37","99,99"
KABUPATEN BEKASI,SD/MI/Paket A,"99,57","99,12","99,03","99,13","98,85","97,58"
KABUPATEN BANDUNG BARAT,SD/MI/Paket A,"96,76","97,55","97,76","97,87","97,69","97,91"
KABUPATEN PANGANDARAN,SD/MI/Paket A,"97,46","95,34","95,19","95,76","95,84","99,99"
KOTA BOGOR,SD/MI/Paket A,"95,44","95,6","95,47","95,74","95,65","99,95"
KOTA SUKABUMI,SD/MI/Paket A,"97,27","96,87","96,95","98,18","97,99","99,98"
KOTA BANDUNG,SD/MI/Paket A,"97,22","98,88","98,73","99,06",99,"97,18"
KOTA CIREBON,SD/MI/Paket A,"97,26","94,85","95,45","95,29","95,15","95,58"
KOTA BEKASI,SD/MI/Paket A,"98,68","98,93","98,72","98,92","98,94","99,97"
KOTA DEPOK,SD/MI/Paket A,"95,45","98,44","98,36","98,23","98,19","95,86"
KOTA CIMAHI,SD/MI/Paket A,"97,63","95,9","96,39","97,01","96,34","99,9"
KOTA TASIKMALAYA,SD/MI/Paket A,"96,9","94,63","94,59","94,75","94,79","97,86"
KOTA BANJAR,SD/MI/Paket A,"98,62","98,97","99,32","99,15","99,36","99,98"
KABUPATEN BOGOR,SMP/MTS/Paket B,"79,46","84,03","83,45","84,29","85,26","84,43"
KABUPATEN SUKABUMI,SMP/MTS/Paket B,"83,8","81,86","82,01","82,16","82,17","82,2"
KABUPATEN CIANJUR,SMP/MTS/Paket B,"75,48","79,05","79,24","79,75","80,86","80,87"
KABUPATEN BANDUNG,SMP/MTS/Paket B,"80,43","82,12","82,06","84,03","88,56","88,07"
KABUPATEN GARUT,SMP/MTS/Paket B,"77,74","78,83","82,6","83,09","83,17","83,28"
KABUPATEN TASIKMALAYA,SMP/MTS/Paket B,"83,11","85,84","88,91","88,79","89,61","90,07"
KABUPATEN CIAMIS,SMP/MTS/Paket B,"84,66","84,67","84,73","87,14","87,16","87,09"
KABUPATEN KUNINGAN,SMP/MTS/Paket B,"75,5","77,84","79,6","79,9","79,82","79,63"
KABUPATEN CIREBON,SMP/MTS/Paket B,"82,48","79,8","79,6","79,71","81,44","80,81"
KABUPATEN MAJALENGKA,SMP/MTS/Paket B,"78,5","79,15","81,45","81,38","80,81","81,16"
KABUPATEN SUMEDANG,SMP/MTS/Paket B,"83,51","88,27","88,29","88,79","89,17","89,03"
KABUPATEN INDRAMAYU,SMP/MTS/Paket B,"75,6","76,14","77,22","78,59","80,36","79,54"
KABUPATEN SUBANG,SMP/MTS/Paket B,"80,1","80,04","79,74","80,63","80,39","80,13"
KABUPATEN PURWAKARTA,SMP/MTS/Paket B,"74,9","72,59","72,42","72,37","72,66","72,98"
KABUPATEN KARAWANG,SMP/MTS/Paket B,"80,82","80,19","79,88","82,79","82,6","82,77"
KABUPATEN BEKASI,SMP/MTS/Paket B,"82,98","81,28","80,82","81,37","81,64","81,83"
KABUPATEN BANDUNG BARAT,SMP/MTS/Paket B,"75,45","78,03","77,29","77,46","76,56","75,87"
KABUPATEN PANGANDARAN,SMP/MTS/Paket B,78,"82,32","84,72","84,62","84,97","84,63"
KOTA BOGOR,SMP/MTS/Paket B,"74,75","75,08","74,91","74,88","75,65","76,16"
KOTA SUKABUMI,SMP/MTS/Paket B,"77,91","80,66","82,19","83,33","83,17","82,96"
KOTA BANDUNG,SMP/MTS/Paket B,"83,53","79,58",80,"80,66","81,4","81,82"
KOTA CIREBON,SMP/MTS/Paket B,"74,36","71,91","70,54","70,79","69,96","69,93"
KOTA BEKASI,SMP/MTS/Paket B,"87,03","84,98","84,16","86,74","86,3","86,37"
KOTA DEPOK,SMP/MTS/Paket B,"81,81","78,72","78,02","78,19","78,71","79,55"
KOTA CIMAHI,SMP/MTS/Paket B,"77,68","80,7","80,33","80,82","80,5","80,79"
KOTA TASIKMALAYA,SMP/MTS/Paket B,"76,65","78,53","81,31","81,13","84,84","84,13"
KOTA BANJAR,SMP/MTS/Paket B,"83,93","86,63","85,56","85,64","86,59","87,02"
KABUPATEN BOGOR,SMA/MA/Paket C,"55,2","52,76","53,31","53,2","54,66","48,44"
KABUPATEN SUKABUMI,SMA/MA/Paket C,"48,74","49,68","50,65","51,31","52,46","52,25"
KABUPATEN CIANJUR,SMA/MA/Paket C,"44,87","44,78","44,55","44,69","45,06","48,5"
KABUPATEN BANDUNG,SMA/MA/Paket C,"57,03","53,44","52,75","52,65","53,8","54,09"
KABUPATEN GARUT,SMA/MA/Paket C,"49,49","50,9","51,04","51,91","51,95","52,21"
KABUPATEN TASIKMALAYA,SMA/MA/Paket C,"55,67","59,7","60,66","61,01","62,82","62,03"
KABUPATEN CIAMIS,SMA/MA/Paket C,"50,56","51,38","50,68","50,81","50,81","50,88"
KABUPATEN KUNINGAN,SMA/MA/Paket C,"63,16","67,45","66,79","66,85","67,61","66,86"
KABUPATEN CIREBON,SMA/MA/Paket C,"55,39","58,93","59,41","59,3","60,31","60,4"
KABUPATEN MAJALENGKA,SMA/MA/Paket C,"63,1","61,45","60,58","61,29","60,97","65,69"
KABUPATEN SUMEDANG,SMA/MA/Paket C,"44,62","43,45","44,2","44,74","44,53","61,81"
KABUPATEN INDRAMAYU,SMA/MA/Paket C,"55,02","55,96","55,89","56,63","58,88","59,29"
KABUPATEN SUBANG,SMA/MA/Paket C,"51,77","52,89","51,82","52,31","52,28","52,56"
KABUPATEN PURWAKARTA,SMA/MA/Paket C,"55,2","55,35","56,07","55,9","55,42","55,2"
KABUPATEN KARAWANG,SMA/MA/Paket C,"55,97","56,93","56,69","57,23","56,87","57,22"
KABUPATEN BEKASI,SMA/MA/Paket C,"59,62","58,13","57,61","57,81","57,75","61,75"
KABUPATEN BANDUNG BARAT,SMA/MA/Paket C,"52,36","48,86","49,58","50,07","49,7","50,36"
KABUPATEN PANGANDARAN,SMA/MA/Paket C,"62,53","67,41","67,92","67,48","67,27","66,78"
KOTA BOGOR,SMA/MA/Paket C,"61,21","61,77","62,21","62,51","62,98","62,38"
KOTA SUKABUMI,SMA/MA/Paket C,"69,64","73,06","71,28","71,5","70,62","72,5"
KOTA BANDUNG,SMA/MA/Paket C,"65,78","67,34",68,"68,25","68,35","67,84"
KOTA CIREBON,SMA/MA/Paket C,"65,02","65,93","66,85","66,75","67,64","68,5"
KOTA BEKASI,SMA/MA/Paket C,"70,39","71,04","70,37","70,54","70,52","70,53"
KOTA DEPOK,SMA/MA/Paket C,"71,02","75,01","74,34","76,57","77,18","76,44"
KOTA CIMAHI,SMA/MA/Paket C,"69,61","71,74","71,09","71,91","71,1","72,77"
KOTA TASIKMALAYA,SMA/MA/Paket C,"66,52","69,36","70,3","72,6","73,45","71,94"
KOTA BANJAR,SMA/MA/Paket C,"73,82","71,59","71,66","71,02","71,05","70,73"
KABUPATEN BOGOR,Perguruan Tinggi,"20,31","24,32","23,55",0,"23,26","23,15"
KABUPATEN SUKABUMI,Perguruan Tinggi,"7,6","8,59","7,64",0,"8,23","14,05"
KABUPATEN CIANJUR,Perguruan Tinggi,"5,57","3,71","4,58",0,"5,9","11,83"
KABUPATEN BANDUNG,Perguruan Tinggi,"14,25","15,61","16,39",0,"17,95","19,83"
KABUPATEN GARUT,Perguruan Tinggi,"7,89","6,47","6,64",0,"8,22","10,4"
KABUPATEN TASIKMALAYA,Perguruan Tinggi,"10,26","13,94","14,18",0,"15,74","15,18"
KABUPATEN CIAMIS,Perguruan Tinggi,"12,74","10,4","11,11",0,"14,32","32,44"
KABUPATEN KUNINGAN,Perguruan Tinggi,"11,47","12,23","11,55",0,"12,64","12,96"
KABUPATEN CIREBON,Perguruan Tinggi,"13,58","11,98","12,51",0,"11,13","12,63"
KABUPATEN MAJALENGKA,Perguruan Tinggi,"12,82","8,76","9,09",0,"9,88","7,9"
KABUPATEN SUMEDANG,Perguruan Tinggi,"17,76","15,25","17,35",0,"17,94","17,04"
KABUPATEN INDRAMAYU,Perguruan Tinggi,"6,92","7,99","8,83",0,"10,22","9,41"
KABUPATEN SUBANG,Perguruan Tinggi,"7,87","5,73","3,69",0,"5,27","9,4"
KABUPATEN PURWAKARTA,Perguruan Tinggi,"12,27","8,4","9,66",0,"7,52","15,91"
KABUPATEN KARAWANG,Perguruan Tinggi,"10,16","10,14","9,4",0,"9,53","16,45"
KABUPATEN BEKASI,Perguruan Tinggi,"17,53","21,4","20,33",0,"19,82","20,51"
KABUPATEN BANDUNG BARAT,Perguruan Tinggi,"9,89","8,88","9,45",0,"9,16","11,49"
KABUPATEN PANGANDARAN,Perguruan Tinggi,"8,3","5,14","4,84",0,"7,93","12,54"
KOTA BOGOR,Perguruan Tinggi,"31,08","27,92","28,67",0,"28,31","31,58"
KOTA SUKABUMI,Perguruan Tinggi,"25,07","24,71","23,88",0,"24,96","21,19"
KOTA BANDUNG,Perguruan Tinggi,"34,07","34,5","33,96",0,"33,78","36,93"
KOTA CIREBON,Perguruan Tinggi,"14,4","13,96","16,54",0,"17,62","15,35"
KOTA BEKASI,Perguruan Tinggi,"25,22","23,78","24,68",0,"24,85","31,59"
KOTA DEPOK,Perguruan Tinggi,"26,58","28,77","29,27",0,"28,17","32,34"
KOTA CIMAHI,Perguruan Tinggi,"23,12","18,61","19,28",0,"23,42","23,6"
KOTA TASIKMALAYA,Perguruan Tinggi,"21,05","17,01","17,94",0,"15,92","19,48"
KOTA BANJAR,Perguruan Tinggi,"15,41","15,68","15,1",0,"14,78","15,59"